LIMITS	0	11500	-300
OBSTACLE	Platforms/sandFill.png	250	250	game
PLATFORM	Platforms/sandPlatform.png	750	50	game
PLATFORM	Platforms/sandPlatform.png	1250	50	game
PLATFORM	Platforms/sandPlatform.png	1750	50	game
PLATFORM	Platforms/sandPlatform.png	2250	50	game
PLATFORM	Platforms/sandPlatform.png	2750	50	game
PLATFORM	Platforms/sandPlatform.png	3250	50	game
PLATFORM	Platforms/sandPlatform.png	3750	50	game
PLATFORM	Platforms/sandPlatform.png	4250	50	game
PLATFORM	Platforms/sandPlatform.png	4750	50	game
PLATFORM	Platforms/sandPlatform.png	5250	50	game
OBSTACLE	Platforms/sandFill.png	5750	250	game
COIN	none	5750	700	game
COIN	none	5750	850	game
COIN	none	5750	1000	game
DOOR_KEY	Collectables/redKey.props	5750	1150	game
ENEMY_PATROL	Enemies/Crab.props	750	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	1000	100	game
ENEMY_PATROL	Enemies/Crab.props	1250	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	1500	100	game
ENEMY_PATROL	Enemies/Crab.props	1750	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	2000	100	game
ENEMY_PATROL	Enemies/Crab.props	2250	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	2500	100	game
ENEMY_PATROL	Enemies/Crab.props	2750	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	3000	100	game
ENEMY_PATROL	Enemies/Crab.props	3250	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	3500	100	game
ENEMY_PATROL	Enemies/Crab.props	3750	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	4000	100	game
ENEMY_PATROL	Enemies/Crab.props	4250	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	4500	100	game
ENEMY_PATROL	Enemies/Crab.props	4750	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	5000	100	game
ENEMY_PATROL	Enemies/Crab.props	5250	100	game
ENEMY_PATROL	Enemies/CrabLeft.props	5500	100	game
MOBILE_PLATFORM	Platforms/mobilePlatformHorizontal1500Right.props	500	750	game
ENEMY_AERIAL_PATROL	Enemies/BatHorizontal1000Right.props	1000	1500	game
MOBILE_PLATFORM	Platforms/mobilePlatformHorizontal1500Left.props	3250	750	game
ENEMY_AERIAL_PATROL	Enemies/BatHorizontal1000Right.props	3000	1500	game
MOBILE_PLATFORM	Platforms/mobilePlatformHorizontal1500Right.props	3750	750	game
ENEMY_AERIAL_PATROL	Enemies/BatVertical1500Up.props	2000	1500	game
MOBILE_PLATFORM	Platforms/mobilePlatformVertical1750Down.props	2250	2000	game
COIN	none	2250	2500	game
COIN	none	2500	2500	game
COIN	none	2750	2500	game
MOBILE_PLATFORM	Platforms/mobilePlatformHorizontal2500Right.props	2750	2000	game
ENEMY_AERIAL_PATROL	Enemies/BatHorizontal1000Right.props	3000	2500	game
OBSTACLE	grassWallTall.png	6050	1250	game
PLATFORM	Platforms/sandPlatform.png	6300	2050	game
DOOR	Obstacles/RedDoor.props	6300	2300	game
OBSTACLE	grassWallTall.png	6300	3200	game
PLATFORM	Platforms/sandPlatform.png	6800	2050	game
PLATFORM	Platforms/sandPlatform.png	7300	2050	game
PLATFORM	Platforms/sandPlatform.png	7800	2050	game
OBSTACLE	Obstacles/box.props	7800	2300	game
OBSTACLE	Obstacles/box.props	7800	2700	game
OBSTACLE	Platforms/sandFill.png	8300	1850	game
PLATFORM	Platforms/sandPlatform.png	8800	1550	game
PLATFORM	Platforms/sandPlatform.png	9300	1550	game
PLATFORM	Platforms/sandPlatform.png	9800	1550	game
PLATFORM	Platforms/sandPlatform.png	10300	1550	game
PLATFORM	Platforms/sandPlatform.png	10800	1550	game
OBSTACLE	Platforms/sandFill.png	11300	1850	game
ENEMY_PATROL	Enemies/Crab.props	8750	1650	game
ENEMY_PATROL	Enemies/CrabLeft.props	9000	1650	game
ENEMY_PATROL	Enemies/Crab.props	9250	1650	game
ENEMY_PATROL	Enemies/CrabLeft.props	9500	1650	game
ENEMY_PATROL	Enemies/Crab.props	9750	1650	game
ENEMY_PATROL	Enemies/CrabLeft.props	10000	1650	game
ENEMY_PATROL	Enemies/Crab.props	10250	1650	game
ENEMY_PATROL	Enemies/CrabLeft.props	10500	1650	game
END	end.png	 11300	2150	game
