LIMITS	0	9300	100
PLATFORM	Platforms/sandPlatform.png	-1750	150	game
PLATFORM	Platforms/sandPlatform.png	-1250	150	game
PLATFORM	Platforms/sandPlatform.png	-750	150	game
PLATFORM	Platforms/sandPlatform.png	-250	150	game
PLATFORM	Platforms/sandPlatform.png	250	150	game
PLATFORM	Platforms/sandPlatform.png	750	150	game
PLATFORM	Platforms/sandPlatform.png	1250	150	game
PLATFORM	Platforms/sandPlatform.png	2250	150	game
PLATFORM	Platforms/sandPlatform.png	2750	150	game
PLATFORM	Platforms/sandPlatform.png	3250	150	game
PLATFORM	Platforms/sandPlatform.png	3750	150	game
PLATFORM	Platforms/sandPlatform.png	4250	150	game
PLATFORM	Platforms/sandPlatform.png	4750	150	game
PLATFORM	Platforms/sandPlatform.png	5250	150	game
PLATFORM	Platforms/sandPlatform.png	5750	150	game
PLATFORM	Platforms/sandPlatform.png	6250	150	game
PLATFORM	Platforms/sandPlatform.png	6750	150	game
PLATFORM	Platforms/sandPlatform.png	7250	150	game
PLATFORM	Platforms/sandPlatform.png	7750	150	game
PLATFORM	Platforms/sandPlatform.png	8250	150	game
PLATFORM	Platforms/sandPlatform.png	8750	150	game
PLATFORM	Platforms/sandPlatform.png	9250	150	game
PLATFORM	Platforms/sandPlatform.png	9750	150	game
PLATFORM	Platforms/sandPlatform.png	10250	150	game
PLATFORM	Platforms/sandPlatform.png	10750	150	game
PLATFORM	Platforms/sandPlatform.png	11250	150	game
MOBILE_PLATFORM	Platforms/MobilePlatform.props	750	650	game
DISAPPEARING_PLATFORM	Platforms/sandFloatingPlatform.png	250	650	game
SPRITE	Platforms/sandFloatingPlatform.png	250	650	game
PLATFORM	Platforms/sandFill.png	-1750	-150	game
PLATFORM	Platforms/sandFill.png	-1250	-150	game
PLATFORM	Platforms/sandFill.png	-750	-150	game
PLATFORM	Platforms/sandFill.png	-250	-150	game
PLATFORM	Platforms/sandFill.png	250	-150	game
PLATFORM	Platforms/sandFill.png	750	-150	game
PLATFORM	Platforms/sandFill.png	1250	-150	game
PLATFORM	Platforms/sandFill.png	2250	-150	game
PLATFORM	Platforms/sandFill.png	2750	-150	game
PLATFORM	Platforms/sandFill.png	3250	-150	game
PLATFORM	Platforms/sandFill.png	3750	-150	game
PLATFORM	Platforms/sandFill.png	4250	-150	game
PLATFORM	Platforms/sandFill.png	4750	-150	game
PLATFORM	Platforms/sandFill.png	5250	-150	game
PLATFORM	Platforms/sandFill.png	5750	-150	game
PLATFORM	Platforms/sandFill.png	6250	-150	game
PLATFORM	Platforms/sandFill.png	6750	-150	game
PLATFORM	Platforms/sandFill.png	7250	-150	game
PLATFORM	Platforms/sandFill.png	7750	-150	game
PLATFORM	Platforms/sandFill.png	8250	-150	game
PLATFORM	Platforms/sandFill.png	8750	-150	game
PLATFORM	Platforms/sandFill.png	9250	-150	game
PLATFORM	Platforms/sandFill.png	9750	-150	game
PLATFORM	Platforms/sandFill.png	10250	-150	game
PLATFORM	Platforms/sandFill.png	10750	-150	game
PLATFORM	Platforms/sandFill.png	11250	-150	game
ENEMY_STATIC	Enemies/seaUrchin.png	750	350	game
OBSTACLE	Platforms/sandFill.png	1350	350	game
ENEMY_AQUATIC	Enemies/WaterCroc.props	1750	-600	game
OBSTACLE	Platforms/sandFill.png	3750	350	game
ENEMY_RANGED	Enemies/Snowman.props	3800	800	game
ENEMY_PATROL	Enemies/Crab.props	5250	350	game
ROTATORY_OBJECT	Obstacles/rotatoryPlatform.props	7800	700	game
ENEMY_GUARD	Enemies/Clam.props	8750	350	game
ENEMY_AERIAL_PATROL	Enemies/Seagull.props	1750	950	game
END	end.png	9250	250	game
