LIMITS	0	50000	-300
COIN	none	25750	4250	game
COIN	none	26250	4250	game
COIN	none	25250	3750	game
PLATFORM	Platforms/platform00-500x100-top.png	25750	3550	game
PLATFORM	Platforms/platform00-500x100-top.png	26250	3550	game
COIN	none	27250	3750	game
COIN	none	24750	3250	game
PLATFORM	Platforms/platform00-500x100-top.png	25250	3050	game
PLATFORM	Platforms/platform00-500x100-top.png	25750	3050	game
PLATFORM	Platforms/platform00-500x100-top.png	27250	3050	game
COIN	none	27750	3250	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	39750	3250	game
COIN	none	3750	2750	game
COIN	none	4250	2750	game
COIN	none	4750	2750	game
COIN	none	5250	2750	game
COIN	none	5750	2750	game
COIN	none	6250	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	7750	2750	game
COIN	none	9250	2750	game
COIN	none	9750	2750	game
COIN	none	10250	2750	game
COIN	none	10750	2750	game
COIN	none	11250	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	13250	2750	game
COIN	none	15250	2750	game
COIN	none	15750	2750	game
COIN	none	16250	2750	game
COIN	none	16750	2750	game
COIN	none	17250	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	19750	2750	game
COIN	none	22250	2750	game
COIN	none	22750	2750	game
COIN	none	23250	2750	game
COIN	none	23750	2750	game
PLATFORM	Platforms/platform00-500x100-top.png	24750	2550	game
PLATFORM	Platforms/platform00-500x100-top.png	25250	2550	game
PLATFORM	Platforms/platform00-500x100-top.png	27750	2550	game
COIN	none	28250	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	29750	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	31250	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	32750	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	34250	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	35750	2750	game
ENEMY_AERIAL_PATROL_ZONE	Enemies/zone_bat-1000.props	37250	2750	game
PLATFORM	Platforms/platform00-500x100-top.png	3750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	4250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	4750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	5250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	5750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	6250	2050	game
COIN	none	6750	2250	game
COIN	none	7250	2250	game
COIN	none	7750	2250	game
COIN	none	8250	2250	game
COIN	none	8750	2250	game
PLATFORM	Platforms/platform00-500x100-top.png	9250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	9750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	10250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	10750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	11250	2050	game
COIN	none	12250	2250	game
COIN	none	12750	2250	game
COIN	none	13250	2250	game
COIN	none	13750	2250	game
COIN	none	14250	2250	game
PLATFORM	Platforms/platform00-500x100-top.png	15250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	15750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	16250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	16750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	17250	2050	game
COIN	none	18750	2250	game
COIN	none	19250	2250	game
COIN	none	19750	2250	game
COIN	none	20250	2250	game
COIN	none	20750	2250	game
PLATFORM	Platforms/platform00-500x100-top.png	22250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	22750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	23250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	23750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	24250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	28250	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	29750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	30750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	31750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	32750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	33750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	34750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	35750	2050	game
PLATFORM	Platforms/platform00-500x100-top.png	36750	2050	game
PLATFORM	Platforms/platform00-500x500-top.png	39250	2250	game
PLATFORM	Platforms/platform00-500x500-top.png	39750	2250	game
PLATFORM	Platforms/platform00-500x500-top.png	40250	2250	game
PLATFORM	Platforms/platform00-500x500-top.png	2750	1750	game
PLATFORM	Platforms/platform00-500x100-top.png	6750	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	7250	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	7750	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	8250	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	8750	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	12250	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	12750	1550	game
